"s","serr","k","kerr"
31931476.7303211,7594294.37182984,0.0638507134232735,0.0394607120531576
8230527.20051691,1264725.86444673,0.0215687743371063,0.00695380090680785
1073420.84397703,209784.658902292,0.0462523198249503,0.023927999020574
